2020-05-31 18:41:33.420 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 18:41:33.422 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 18:41:36.265 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2020-05-31 18:41:36.266 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 18:41:36.266 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 18:41:36.395 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 18:41:37.170 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 18:41:40.125 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2020-05-31 18:41:40.149 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 18:41:40.181 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 18:41:40.248 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 18:41:40.477 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 7.574 seconds (JVM running for 9.262)
2020-05-31 18:42:12.353 | http-nio-8081-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 18:42:12.375 | http-nio-8081-exec-1 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 18:42:12.904 | http-nio-8081-exec-1 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} inited
2020-05-31 19:04:35.520 | Thread-216 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closing ...
2020-05-31 19:04:35.525 | Thread-216 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closed
2020-05-31 19:04:35.848 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:04:35.848 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:04:36.496 | restartedMain | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:04:38.996 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:04:38.996 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:04:39.675 | restartedMain | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:05:52.606 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:05:52.606 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:05:55.727 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:05:55.727 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:06:11.857 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:06:11.857 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:06:12.727 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2020-05-31 19:06:12.727 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:06:12.727 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:06:12.747 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:06:12.851 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:06:15.016 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2020-05-31 19:06:15.019 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:06:15.020 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:06:15.024 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:06:15.045 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 3.233 seconds (JVM running for 1483.831)
2020-05-31 19:06:18.992 | http-nio-8081-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:06:18.996 | http-nio-8081-exec-1 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:06:19.162 | http-nio-8081-exec-1 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} inited
2020-05-31 19:06:28.687 | Thread-231 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} closing ...
2020-05-31 19:06:28.691 | Thread-231 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-2} closed
2020-05-31 19:06:29.067 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:06:29.067 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:07:25.232 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:07:25.233 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:09:55.790 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 3480 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:09:55.791 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:10:45.830 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 18324 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:10:45.832 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:10:48.294 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2020-05-31 19:10:48.295 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:10:48.295 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:10:48.390 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:10:48.972 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:10:50.709 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2020-05-31 19:10:50.728 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:10:50.742 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:10:50.773 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:10:50.842 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 5.534 seconds (JVM running for 6.488)
2020-05-31 19:10:54.266 | http-nio-8081-exec-1 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:10:54.288 | http-nio-8081-exec-1 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:11:08.923 | SpringContextShutdownHook | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:11:11.935 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 8216 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:11:11.937 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:11:14.397 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:11:14.398 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:11:14.398 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:11:14.498 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:11:15.103 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:11:17.879 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:11:17.893 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:11:17.907 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:11:17.933 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:11:17.999 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 6.585 seconds (JVM running for 7.516)
